fighter_name,nickname,birth_date,age,death_date,location,country,height,weight,association,weight_class,wins,wins_ko,wins_submission,wins_decision,wins_other,lossess,losses_ko,losses_submission,losses_decision,losses_other,height(cm),weight(kg),win_percentage,bmi,submission_ratio,ko_ratio,decision_ratio
Shane Nelson,Sugar,1983-11-30,37.0,,"Honolulu, Hawaii",United States,5.9,145,Bj Penn'S Mma,Featherweight,16,4,4,8,0,7,0,1,6,0,179.83200000000002,65.77083999999999,69.57,20.34,0.25,0.25,0.5
Collin Anglin,,1993-02-20,28.0,,"South Lyon, Michigan",United States,5.9,145,Scorpion Fighting System,Featherweight,8,5,0,3,0,2,1,0,1,0,179.83200000000002,65.77083999999999,80.0,20.34,0.0,0.62,0.38
Jesus Martinez,Chavo,1983-12-26,37.0,,"Philadelphia, Pennsylvania",United States,5.1,199,Semper Fi Mma,Light Heavyweight,11,4,2,5,0,6,5,0,1,0,155.44799999999998,90.264808,64.71,37.35,0.18,0.36,0.45
Jared Gordon,Flash,1988-09-06,32.0,,"Queens, New York",United States,5.9,150,Renzo Gracie Jiu-Jitsu,Lightweight,17,6,2,9,0,4,4,0,0,0,179.83200000000002,68.0388,80.95,21.04,0.12,0.35,0.53
Gabriel Green,Gifted,1993-05-02,28.0,,"Downey, California",United States,5.1,170,Subfighter Mma,Welterweight,10,3,6,1,0,3,2,0,1,0,155.44799999999998,77.11064,76.92,31.91,0.6,0.3,0.1
Katlyn Chookagian,Blonde Fighter,1988-12-28,32.0,,"Jersey City, New Jersey",United States,5.9,125,Team Renzo Gracie,Flyweight,16,2,1,13,0,4,2,0,2,0,179.83200000000002,56.699,80.0,17.53,0.06,0.12,0.81
Christian M'Pumbu,Everlasting,1977-06-02,44.0,,Kinshasa,Congo,6.2,191,Mma Factory,Light Heavyweight,21,9,8,3,1,12,3,2,6,1,188.976,86.636072,63.64,24.26,0.38,0.43,0.14
Tyler Hamilton,,,,,"Groton, Connecticut",United States,0.0,155,None,Lightweight,1,0,1,0,0,1,0,0,1,0,0.0,70.30676,50.0,inf,1.0,0.0,0.0
Kelvin Doss,,,,,,United States,0.0,232,None,Heavyweight,3,1,2,0,0,4,0,4,0,0,0.0,105.233344,42.86,inf,0.67,0.33,0.0
Chris Mierzwiak,College,1988-02-14,33.0,,"Sylvania, Ohio",United States,6.1,170,Team Jorge Gurgel,Welterweight,5,1,4,0,0,3,0,0,3,0,185.928,77.11064,62.5,22.31,0.8,0.2,0.0
Gavin Sterritt,War Horse,1979-08-27,41.0,,"Liverpool, Merseyside",England,5.11,155,None,Lightweight,6,1,4,1,0,3,1,2,0,0,155.7528,70.30676,66.67,28.98,0.67,0.17,0.17
Yoshiyuki Nakanishi,,1985-04-17,36.0,,Shiga,Japan,5.1,185,Tribe Tokyo Mma,Middleweight,16,7,2,7,0,5,3,1,1,0,155.44799999999998,83.91452,76.19,34.73,0.12,0.44,0.44
Ashkan Morvari,Smashkan,1978-03-03,43.0,,"Richfield, Minnesota",United States,5.6,155,American Top Team Savage,Lightweight,15,5,6,3,1,9,0,4,4,1,170.688,70.30676,62.5,24.13,0.4,0.33,0.2
Anna Elmose,Panda,,,,Copenhagen,Denmark,0.0,135,Rumble Sports,Bantamweight,3,3,0,0,0,2,1,0,1,0,0.0,61.23492,60.0,inf,0.0,1.0,0.0
Blaine Shutt,The Shuttdown,1992-04-27,29.0,,"Hummelstown, Pennsylvania",United States,5.7,135,Tech Mma,Bantamweight,8,0,6,2,0,5,0,1,4,0,173.73600000000002,61.23492,61.54,20.29,0.75,0.0,0.25
Sergey Shemetov,Siberian,1983-12-14,37.0,,Omsk,Russia,6.2,235,Shembros Academy,Heavyweight,10,7,1,0,2,9,3,4,0,2,188.976,106.59412,52.63,29.85,0.1,0.7,0.0
Senzo Ikeda,,1982-09-04,38.0,,Tokyo,Japan,5.8,135,"<Span Class=""__Cf_Email__"" Data-Cfemail=""783E0A1D1D1C1715383702"">[Email Protected]</Span>",Bantamweight,13,2,2,9,0,8,2,0,6,0,176.784,61.23492,61.9,19.59,0.15,0.15,0.69
Pedro Carvalho,The Game,1995-06-08,26.0,,"Guimaraes, Braga",Portugal,5.11,145,Sbg Ireland,Featherweight,11,2,6,3,0,4,2,1,1,0,155.7528,65.77083999999999,73.33,27.11,0.55,0.18,0.27
Hui Qiang Wu,,1992-02-22,29.0,,Zhengzhou,China,5.6,125,Shunyuan Fight Club,Flyweight,0,0,0,0,0,1,0,1,0,0,170.688,56.699,0.0,19.46,,,
